title,description,publication_date
Бездетным семьям предложили выдавать льготную ипотеку за обещание родить,Ипотека под обещание родить детей: в РФ предложили новое условие для льготного кредита,19:37
"ВСУ пытались атаковать Нововоронежскую АЭС. Военная операция, день 1322-й",Онлайн-трансляция специальной военной операции на Украине — 1322-й день,08:20
Адам Кадыров открыл в Чечне спорткомплекс имени себя,СМИ: блогер Митрошина подала на банкротство,17:10
Взяли кванты в руки: за что присудили Нобелевку по физике в 2025 году,Нобелевку по физике дали за открытия в области квантово-механического туннелирования,15:36
"Год без «братской музыки»: чем известен рэпер Macan, который уходит в армию",Правда ли рэпер Macan уходит на военную службу по призыву и чем он известен,17:56
«Ядерный взрыв будет хорошо виден в Одессе». Чем Россия ответит на поставки Tomahawk?,"Полковник Ходаренок заявил, что поставки Tomahawk Украине развяжут руки Москве",12:20
"Платите вторую цену: какие авто с новым утильсбором будет дороже ввезти, чем купить",Автоэксперт Шапарин: повышение утильсбора увеличит темпы старения автопарка в России,14:32
Российский тренер: Мостовой сделает «Спартак» снова великим,"Бывший тренер «Спартака» заявил, что команда должна занимать первое место",19:18
Прощальный год Овечкина и исторический контракт Капризова: чего ждать от нового сезона НХЛ,Александр Овечкин проведет последний сезон в НХЛ и вернется в Россию,"06.10.2025, 12:34"
3:2 Огненное дерби: ЦСКА с трудом удержал победу над «Спартаком» после 3:0 на старте игры,ЦСКА обыграл «Спартак» в центральный матч 11-го тура РПЛ,"05.10.2025, 16:30"
Александр Овечкин проведет последний сезон в НХЛ и вернется в Россию,Овечкин проведет последний сезон в НХЛ и вернется в Россию,"06.10.2025, 12:34"
ЦСКА обыграл «Спартак» в центральном матче 11-го тура РПЛ,ЦСКА обыграл «Спартак» в центральном матче 11-го тура РПЛ,"05.10.2025, 16:30"
